Salamanca,04/04/2022,48
Soria,08/12/2022,41
Cuenca,27/02/2022,54
Albacete,22/10/2022,54
Cuenca,13/04/2022,37
Soria,01/06/2022,44
Salamanca,26/01/2022,48
Leon,08/09/2022,52
Toledo,27/04/2022,36
Toledo,14/05/2022,42
Salamanca,03/11/2022,39
Leon,22/09/2022,54
Soria,13/09/2022,48
Toledo,28/09/2021,33
Madrid,01/05/2022,54
Toledo,12/11/2021,54
Soria,02/04/2022,41
Palencia,03/05/2022,50
Madrid,20/12/2021,34
Albacete,18/10/2021,47
Soria,23/04/2022,51
Murcia,06/07/2022,40
Toledo,11/10/2021,30
Palencia,20/03/2022,30
Soria,05/10/2022,51
Soria,08/02/2022,30
Soria,27/09/2022,50
Burgos,28/10/2022,30
Salamanca,27/01/2022,55
Albacete,15/01/2022,37
Albacete,04/08/2022,54
Murcia,05/12/2022,35
Valencia,25/06/2022,42
Soria,16/07/2022,41
Valencia,05/04/2022,39
Leon,07/12/2022,47
Murcia,10/02/2021,54
Toledo,07/12/2022,45
Toledo,25/10/2021,40
Murcia,16/04/2022,34
Palencia,16/08/2022,48
Leon,07/11/2022,47
Badajoz,17/09/2022,54
Toledo,22/01/2022,48
Leon,14/04/2022,47
Toledo,24/09/2022,46
Murcia,02/09/2022,36
Leon,20/06/2022,36
Burgos,18/03/2022,47
Burgos,26/10/2021,36
Burgos,07/04/2022,30
Madrid,24/02/2022,45
Murcia,13/05/2022,52
Palencia,06/01/2022,34
Murcia,22/04/2022,50
Madrid,09/03/2022,52
Salamanca,03/09/2022,41
Madrid,11/09/2021,40
Valencia,13/09/2022,38
Valencia,11/04/2021,49
Salamanca,26/05/2022,37
Salamanca,26/01/2022,32
Badajoz,18/09/2022,35
Soria,09/04/2022,48
Burgos,06/12/2022,51
Valencia,08/09/2022,30
Leon,28/06/2022,31
Soria,10/06/2022,39
Albacete,07/01/2022,39
Leon,20/10/2021,37
Valencia,13/02/2022,52
Madrid,11/07/2021,39
Palencia,04/03/2022,46
Badajoz,17/09/2022,36
Cuenca,30/05/2022,45
Cuenca,26/10/2021,54
Palencia,18/10/2022,34
Burgos,08/04/2022,47
Soria,12/04/2021,43
Burgos,23/03/2022,40
Murcia,18/03/2022,43
Madrid,24/08/2022,45
Salamanca,23/06/2022,41
Murcia,22/10/2021,42
Madrid,01/02/2022,41
Badajoz,11/05/2021,35
Badajoz,16/01/2022,37
Soria,15/05/2022,55
Toledo,24/04/2022,55
Murcia,01/12/2022,48
Cuenca,21/07/2022,35
Madrid,27/09/2021,47
Leon,15/02/2022,44
Albacete,11/02/2021,47
Toledo,13/03/2022,46
Cuenca,16/12/2021,35
Salamanca,29/01/2022,48
Leon,16/07/2022,50
Murcia,11/09/2021,47
Albacete,01/06/2022,47
Badajoz,26/06/2022,48
Soria,15/08/2022,31
Cuenca,08/07/2022,55
Soria,24/12/2021,31
Palencia,16/06/2022,54
Badajoz,15/07/2022,55
Salamanca,28/04/2022,48
Badajoz,03/02/2022,30
Madrid,24/12/2021,31
Burgos,17/12/2021,49
Leon,18/12/2021,50
Cuenca,31/07/2022,38
Albacete,08/03/2022,54
Palencia,04/10/2022,51
Murcia,13/03/2022,31
Burgos,31/10/2021,30
Burgos,07/08/2022,43
Leon,01/12/2022,38
Leon,11/02/2022,38
Murcia,08/11/2022,32
Soria,04/04/2022,42
Soria,18/05/2022,34
Valencia,02/01/2022,45
Palencia,14/10/2022,37
Palencia,11/07/2022,30
Burgos,26/09/2021,40
Leon,31/07/2022,42
Salamanca,10/09/2021,53
Valencia,12/02/2021,31
Albacete,30/06/2022,51
Valencia,28/11/2021,42
Palencia,23/02/2022,31
Madrid,17/02/2022,37
Soria,25/09/2022,50
Murcia,20/02/2022,48
Soria,13/08/2022,43
Cuenca,17/12/2021,48
Badajoz,06/03/2022,49
Cuenca,19/01/2022,52
Toledo,28/05/2022,54
Murcia,18/08/2022,36
Cuenca,23/01/2022,48
Madrid,18/12/2021,48
Salamanca,28/10/2021,45
Soria,25/10/2022,37
Valencia,16/10/2021,55
Leon,03/12/2022,39
Palencia,18/12/2021,52
Albacete,03/12/2022,52
Soria,09/05/2022,33
Albacete,25/03/2022,41
Madrid,03/11/2022,32
Burgos,12/11/2021,49
Madrid,21/08/2022,37
Soria,18/03/2022,34
Madrid,10/12/2022,36
Burgos,30/05/2022,41
Toledo,16/12/2021,54
Murcia,09/10/2022,39
Salamanca,24/05/2022,47
Palencia,31/10/2021,30
Leon,05/10/2022,31
Leon,01/02/2022,55
Madrid,08/07/2022,37
Leon,03/04/2022,54
